1,0,0,-2,-3,4
3,0,0,3,-4,-1
-176,18,-19,-173,-29,143
-177,-68,-66,-23,113,93
-183,-66,-6,-168,44,-127
-181,-39,-13,135,50,74
-183,-19,-9,81,-68,57
-184,-8,-29,103,12,178
-184,-33,1,0,-63,113
-179,-18,-15,-14,-73,110
-177,-57,-85,74,-96,-65
-182,-30,-89,-169,108,32
-175,-88,-18,-178,-51,147
-181,-13,-69,-113,25,54
-180,-53,-59,93,92,-40
-176,-12,-8,-154,-88,34
-182,-73,-36,-156,-42,-104
-178,-32,-35,-24,-83,89
-180,-40,-68,152,-36,-35
-173,-2,-77,-102,-23,-123
-181,-15,-67,-29,-60,170
-181,-81,16,175,-40,-143
-183,-2,-1,-47,91,-170
-182,-65,-59,-6,-44,143
-180,-82,23,94,-32,-18
-180,-21,-68,171,27,-87
-181,-35,-65,-58,-79,174
-182,-24,-45,118,94,165
-179,-37,-72,30,118,-29
-180,-69,25,-53,-95,-121
-176,-38,-5,167,-86,-42
-178,-87,-25,58,113,-102
-172,-79,-53,-155,42,-14
-171,-44,-11,-166,-28,-39
-174,-18,17,62,20,-74
-180,-13,-7,3,-83,-146
-173,-14,-78,133,89,5
-178,-81,-13,15,63,-150
-171,-38,-27,81,57,-27
-177,-49,5,157,60,-107
-177,-60,-58,-154,50,24
-169,-36,24,67,-26,-152
-169,-3,-52,79,66,41
-176,-88,-59,143,-2,167
-176,-73,9,6,42,-177
-179,-60,-57,-146,-34,-87
-173,-13,-12,124,-85,-59
-174,-9,-75,168,-94,-14
-177,-37,31,-109,78,163
-172,-62,-5,117,20,143
-168,-14,-22,145,75,143
-168,-11,-29,83,-60,73
-176,-17,-82,16,63,12
-171,-89,25,-117,-12,72
-178,-34,-71,-85,-66,-177
-173,-25,34,161,-92,55
-177,-46,-21,-13,-65,-120
-171,-77,-26,0,-99,33
-170,-17,-39,-60,-56,121
-171,-75,-56,179,-64,-177
-171,-1,-1,-50,-25,55
-168,-55,11,153,9,124
-167,-9,-29,105,-39,28
-168,-29,-10,162,71,-77
-170,-57,23,-166,-98,63
-174,-73,-16,-28,37,-168
-172,-8,-21,0,-27,-134
-167,-77,-63,115,57,131
-169,-25,26,39,-77,106
-169,-40,-52,75,-76,-28
-169,-76,1,-172,48,166
-169,-85,-30,54,64,127
-172,-69,-85,-81,-99,86
-172,-8,24,7,13,-125
-168,-4,-35,103,-87,81
-174,-3,-58,-45,37,104
-170,-13,11,-85,51,-134
-169,-79,-42,-152,113,-80
-171,-35,-28,174,-5,-152
-170,-65,35,-120,68,-116
-172,-73,-2,-49,99,-53
-174,-46,-1,25,56,23
-166,-89,-67,-1,10,132
-169,-10,10,86,-55,-150
-171,-10,-22,-133,-11,-99
-164,-4,-29,-70,-28,-3
-163,-59,-6,-117,9,-140
-173,-79,18,-122,-24,45
-163,-24,-25,-47,-15,-54
-166,-89,-54,-109,-48,-80
-166,-40,4,4,115,-171
-172,-90,-66,152,-75,-59
-170,-76,-18,-135,68,124
-171,-87,31,-61,-71,-96
-169,-43,-3,-62,115,34
-172,-64,-19,-152,69,-21
-170,-80,-31,36,40,132
-170,-18,22,-58,-93,126
-171,-74,18,107,23,101
-168,-64,29,-59,-40,17
-171,-23,-83,133,121,-111
-163,-59,-36,-180,57,-58
-166,-71,-44,35,-34,-83
-168,-89,30,68,-36,-134
-170,-69,-73,-134,-40,138
-169,-55,-55,-89,14,-109
-166,-75,8,-36,83,155
-169,-12,4,-18,82,30
-168,-41,11,-83,-29,-184
-163,-30,-13,113,-92,-123
-160,-63,-47,99,119,-139
-167,-31,-34,92,13,33
-169,-16,-35,-103,6,176
-164,-29,-3,-79,-50,64
-162,-29,-2,116,30,-158
-167,-19,31,-145,-83,-147
-163,-31,34,103,30,-102
-163,-78,-54,-163,-67,-102
-165,-19,-54,-168,68,160
-165,-13,-85,91,107,-95
-167,-30,15,-128,-88,139
-161,-74,-41,123,120,49
-168,-36,-64,45,-95,-54
-168,-63,18,154,-20,173
-158,-54,33,-76,-82,47
-166,-67,-2,-96,-77,-97
-158,-68,-27,103,-61,39
-163,-77,-57,111,-67,104
-168,-78,-73,37,-86,171
-162,-18,8,-97,102,-160
-158,-58,-81,69,127,-130
-161,-8,-79,106,21,-60
-166,-52,15,-3,-103,108
-162,-82,-23,95,92,96
-164,-81,30,134,-91,40
-161,-70,33,-9,94,103
-166,-84,-76,74,34,138
-165,-53,-2,-27,-91,99
-163,-84,-65,108,34,-169
-166,-74,34,-137,-44,-86
-162,-60,-39,-156,103,-110
-157,-58,30,126,-18,-85
-165,-50,-15,-171,44,-37
-164,-6,29,-116,-49,169
-158,-17,30,108,-52,-119
-163,-44,-32,-120,-99,-105
-157,-69,-19,-83,-6,-117
-157,-24,-70,51,33,-8
-163,-62,-80,-80,-3,-70
-157,-9,-73,148,-69,170
-161,-67,-22,-79,-11,-91
-161,-2,-53,81,111,56
-157,-71,-88,-17,18,-42
-162,-69,-5,-6,-69,71
-159,-38,-65,110,71,108
-157,-79,19,-81,-96,-24
-164,-53,-73,57,-58,-44
-155,-80,-89,13,-100,-44
-158,-88,-7,114,-80,76
-160,-46,-28,-164,55,52
-155,-62,-8,67,-54,-9
-155,-78,-69,82,-35,-31
-157,-36,18,67,5,37
-158,-74,-71,18,13,42
-153,-17,33,38,63,125
-154,-78,24,-9,-47,31
-162,-74,-64,-30,-46,-81
-157,-40,-62,-5,105,161
-154,-1,-36,-75,-25,105
-159,-64,25,-109,-48,-156
-161,-52,-38,-83,35,-38
-162,-8,-20,159,85,174
-153,-80,-11,3,-25,88
-155,-85,27,108,96,1
-154,-60,-15,85,107,49
-154,-69,19,78,-30,117
-153,-8,-56,111,17,-50
-158,-45,-50,-54,7,-116
-156,-66,-24,104,-90,55
-156,-46,-1,63,51,-134
-162,-62,-21,162,50,-102
-156,-11,-88,98,-55,102
-160,-63,3,67,121,30
-160,-22,-27,-9,-69,-129
-156,-89,-5,-116,100,-49
-157,-38,33,-70,22,-139
-161,-11,-35,-50,-75,-20
-151,-73,5,95,11,41
-159,-8,-68,181,-22,-141
-159,-80,6,170,-65,109
-157,-35,20,131,-21,10
-157,-76,-39,140,-36,44
-157,-83,30,-67,76,126
-155,-23,-79,-139,-18,-94
-153,-4,-58,-10,115,-168
-152,-13,-88,-34,98,162
-155,-37,-34,-71,-17,-135
-158,-22,-31,170,-76,26
-154,-83,-22,177,28,84
-154,-31,35,102,70,50
-158,-46,-30,-82,90,-170
-158,-68,-35,153,82,-151
-151,-81,-88,-173,8,60
-155,-76,29,-160,-28,34
-156,-13,-4,-30,-60,-113
-158,-77,-33,138,4,102
-154,-60,-10,-37,82,85
-153,-69,-34,52,-29,104
-153,-36,1,-37,28,44
-156,-62,-64,57,61,-31
-154,-37,-78,49,17,-67
-157,-5,26,113,-51,102
-148,-51,8,-63,90,-164
-158,-66,-22,108,70,30
-151,-60,10,37,65,-57
-152,-72,-9,-161,-53,-51
-152,-83,-86,-81,80,144
-157,-44,-47,123,33,-7
-154,-11,-68,-116,52,-123
-151,-8,-48,58,110,42
-148,-30,-42,90,-97,148
-156,-19,-39,154,-72,121
-152,-62,2,-32,-65,-28
-147,-69,-37,-97,128,-116
